0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 
200 1 1 1 1 1 1 1 1 9 9 9 9 1 1 1 1 1 1 18 18 18 18 18 34 34 3 3 3 5 5 5 5 5 9 9 9 4 4 4 4 4 4 4 17 5 5 5 5 5 45 45 5 5 5 5 5 5 1 1 1 1 1 1 2 2 2 2 2 9 9 9 9 16 16 9 9 9 9 9 9 10 10 10 10 16 16 16 21 21 21 21 6 6 6 6 6 6 5 5 5 5 5 37 1 1 1 1 1 28 28 28 38 38 38 10 10 10 10 10 10 11 11 9 9 9 9 9 9 2 2 2 2 2 2 2 2 41 41 41 3 3 3 3 3 11 11 3 3 3 3 3 23 23 1 1 1 24 24 24 19 19 19 19 37 37 10 10 10 10 10 10 1 1 1 1 1 3 3 6 6 6 1 1 1 1 1 1 1 13 13 13 15 11 11 11 9 9 9 9 9 
199 1 1 1 1 1 1 1 9 9 9 9 9 1 1 1 1 1 1 18 18 18 18 34 34 34 3 3 3 5 5 5 5 9 9 9 9 4 4 4 4 4 4 17 17 5 5 5 5 5 45 45 5 5 5 5 5 5 1 1 1 1 1 1 2 2 2 2 42 9 9 9 9 16 16 9 9 9 9 9 10 10 10 10 16 16 16 21 21 21 21 21 6 6 6 6 6 6 5 5 5 5 37 37 1 1 1 1 1 28 28 28 38 38 38 10 10 10 10 10 11 11 11 9 9 9 9 9 9 2 2 2 2 2 2 2 41 41 41 41 3 3 3 3 11 11 11 3 3 3 3 23 23 23 1 1 24 24 24 24 19 19 19 19 37 37 10 10 10 10 10 10 1 1 1 1 3 3 6 6 6 6 1 1 1 1 1 1 13 13 13 15 15 11 11 11 9 9 9 9 9 
198 1 1 1 1 1 1 1 9 9 9 9 4 4 1 1 1 1 1 18 18 18 34 34 34 34 3 3 5 5 5 5 5 9 9 9 9 4 4 4 4 4 4 17 17 5 5 5 5 5 5 5 5 5 5 5 5 5 1 1 1 1 1 1 2 2 2 42 42 42 9 9 3 3 9 9 9 9 9 9 10 10 10 10 16 16 1 21 21 21 21 21 12 6 6 6 6 6 6 5 5 5 37 37 1 1 1 1 1 28 28 28 38 38 2 2 10 10 10 10 11 11 11 9 9 9 9 9 9 9 2 2 2 2 2 2 41 41 41 41 3 3 3 3 11 11 11 5 3 3 3 23 23 23 4 4 24 24 24 24 19 19 19 19 19 10 10 10 10 10 10 1 1 1 1 1 3 3 6 6 6 6 1 1 1 1 1 1 13 13 15 15 15 11 11 11 9 9 9 9 9 
197 1 1 1 1 1 1 1 6 9 9 4 4 4 4 1 1 1 1 3 3 3 34 34 34 34 5 5 5 5 5 5 5 9 9 9 9 9 4 4 4 4 4 17 17 5 5 5 5 5 5 5 5 5 5 5 5 5 37 37 1 1 1 1 1 2 42 42 42 42 37 37 3 3 12 9 9 9 9 9 4 4 4 4 1 1 1 1 21 21 21 12 12 12 6 6 6 6 6 5 5 5 5 37 1 1 1 1 1 2 2 6 6 6 2 2 2 10 10 10 11 11 11 9 9 9 9 9 9 9 2 2 2 2 2 2 1 41 41 41 3 3 3 3 3 11 5 5 5 5 5 5 23 23 4 4 24 24 24 24 19 19 19 19 19 1 7 7 7 2 2 2 1 1 1 1 3 3 6 6 6 6 5 5 5 1 1 3 3 3 15 15 15 11 11 11 9 9 9 9 9 
196 1 1 1 1 1 1 6 6 6 4 4 4 4 4 4 1 1 3 3 3 3 34 34 34 34 5 5 5 5 5 5 5 9 9 9 9 9 3 3 4 4 45 17 17 5 5 5 5 5 6 6 5 5 5 5 5 37 37 37 37 1 1 1 1 1 42 42 42 42 37 37 37 12 12 12 9 9 9 4 4 4 4 4 1 1 1 1 1 21 21 12 12 4 4 6 6 6 33 33 5 5 5 23 1 1 1 1 2 2 2 6 6 6 6 2 2 2 2 2 2 11 11 1 9 9 9 9 9 9 9 2 2 2 2 1 1 1 18 18 3 3 3 3 3 5 5 5 5 5 5 5 5 3 3 3 13 13 13 13 19 19 19 19 1 1 7 7 7 2 2 2 2 1 1 1 3 3 3 6 6 6 5 5 5 5 3 3 3 3 3 15 15 25 25 44 44 9 9 9 9 
195 1 1 1 2 2 2 6 6 6 4 4 4 4 4 4 4 3 3 3 3 3 3 34 34 34 5 5 5 5 5 5 5 9 9 9 9 3 3 3 3 45 45 45 17 5 5 5 5 6 6 6 6 29 29 29 29 37 37 37 37 2 2 1 1 1 50 50 42 42 42 37 37 12 12 12 12 9 9 4 4 4 4 4 4 1 1 1 1 1 4 4 4 4 4 1 1 33 33 33 33 5 23 23 23 1 1 5 2 2 2 6 6 6 6 1 1 2 2 2 2 2 1 1 1 9 9 9 9 9 9 2 2 2 1 1 1 1 18 18 2 2 2 2 2 5 5 5 5 5 5 5 5 3 3 3 13 13 13 13 19 19 19 1 1 1 4 4 2 2 2 2 2 2 1 3 3 3 3 3 6 6 4 4 5 2 2 3 3 3 3 3 25 25 25 44 44 8 8 8 8 
194 1 2 2 2 2 2 2 6 5 5 4 4 4 4 4 4 3 3 3 3 3 3 3 34 34 36 36 1 1 1 1 7 7 9 9 3 3 3 3 3 45 45 45 12 12 5 5 6 6 6 6 29 29 29 29 29 2 2 2 2 2 2 2 1 50 50 50 50 42 41 41 41 12 12 12 12 14 14 14 4 4 4 4 4 1 1 1 1 1 4 4 4 4 1 1 1 33 33 33 14 14 23 23 23 23 5 5 5 2 2 6 6 6 1 1 1 1 2 2 2 2 1 1 1 1 1 1 9 9 9 2 2 11 1 1 1 1 18 18 2 2 2 2 2 5 5 5 5 5 5 5 5 4 4 4 4 13 13 3 3 3 3 3 1 4 4 4 4 2 2 2 2 2 2 3 3 3 3 3 3 4 4 4 4 2 2 2 3 3 3 3 25 25 25 8 8 8 8 8 8 
193 2 2 2 2 2 2 2 5 5 5 5 4 4 4 4 4 3 3 3 3 3 3 3 3 36 36 36 1 1 1 28 7 7 7 3 3 3 3 3 3 3 45 12 12 12 8 8 6 6 29 29 29 29 29 29 29 2 2 2 2 2 2 2 2 50 50 50 50 41 41 41 41 12 12 12 14 14 14 14 1 1 4 4 1 1 1 1 1 1 4 4 4 4 1 1 1 10 33 14 14 14 14 23 23 23 5 5 5 5 2 6 6 6 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 1 11 11 11 1 1 1 18 18 2 2 2 2 2 1 5 5 5 5 5 5 5 4 4 4 4 4 3 3 3 3 3 3 3 4 4 4 4 2 2 2 2 2 3 3 3 3 3 3 3 4 4 4 4 10 10 2 2 3 3 3 25 25 8 8 8 8 8 8 8 
192 2 2 2 2 2 1 1 5 5 5 5 5 5 5 4 4 3 3 3 3 3 3 3 3 36 36 36 6 1 28 28 28 7 7 3 3 3 3 3 3 3 3 12 12 12 8 8 8 29 29 29 29 29 29 29 2 2 2 2 2 2 2 2 2 23 23 50 2 2 41 41 41 12 12 14 14 14 14 14 1 1 1 1 1 1 1 1 1 1 1 4 4 4 1 10 10 10 10 14 14 14 14 23 23 5 5 5 5 5 5 15 15 15 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 11 11 11 6 6 6 6 6 2 2 2 2 1 1 1 5 5 5 5 5 13 13 4 4 4 4 3 3 3 3 3 3 3 3 4 4 4 2 2 3 3 3 3 3 3 3 3 2 2 4 4 4 10 10 10 10 2 2 3 8 8 8 8 8 8 8 8 8 8 
191 2 38 38 38 1 1 1 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 5 5 5 5 6 6 6 28 28 16 16 16 5 5 3 3 3 3 3 3 12 12 12 8 8 7 7 29 29 29 1 1 1 1 2 2 2 2 2 2 4 4 23 23 23 2 2 2 9 9 9 9 14 14 14 14 14 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 10 10 10 10 14 14 14 14 44 5 5 5 5 5 5 5 15 15 15 15 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 1 11 6 6 6 6 6 6 2 2 2 2 1 1 1 1 5 45 45 13 13 13 13 4 4 3 3 3 3 3 3 3 3 3 3 4 4 3 3 3 3 3 3 3 3 3 2 2 2 2 4 10 10 10 10 10 2 2 8 8 8 8 8 8 8 8 8 8 8 
